Duration,Date,Pulse,Maxpulse,Calories
60,01/12/2020,110,130,409.1
60,02/12/2020,117,145,479
60,03/12/2020,103,135,340
45,04/12/2020,109,175,282.4
45,05/12/2020,117,148,406
450,06/12/2020,102,127,300
60,07/12/2020,110,136,374
45,08/12/2020,104,134,253.3
30,09/12/2020,109,133,195.1
60,10/12/2020,98,124,269
60,10/12/2020,98,124,269
60,12/12/2020,100,120,250.7
60,13/12/2020,106,128,345.3
60,14/12/2020,104,132,379.3
60,15/12/2020,98,123,275
60,16/12/2020,98,120,215.2
60,17/12/2020,100,120,300
45,18/12/2020,90,112,
60,19/12/2020,103,123,323
45,20/12/2020,97,125,243
60,21/12/2020,108,131,364.2
45,1222/2020,100,119,282
60,23/12/2020,130,101,300
45,,105,132,246
60,25/12/2020,102,126,334.5
60,26/12/2020,100,120,250
60,27/12/2020,92,118,241
60,28/12/2020,103,132,
60,29/12/2020,100,132,280
60,30/12/2020,102,129,380.3
60,31/12/2020,92,115,243
45,01/01/2021,90,112,180.1
60,02/01/2021,101,124,299
60,03/01/2021,93,113,223
60,04/01/2021,107,136,361
60,05/01/2021,114,140,415
60,06/01/2021,102,127,300
60,07/01/2021,100,120,300
60,08/01/2021,100,120,300
45,09/01/2021,104,129,266
45,10/01/2021,90,112,180.1
60,11/01/2021,98,126,286
60,12/01/2021,100,122,329.4
60,13/01/2021,111,138,400
60,14/01/2021,111,131,397
60,15/01/2021,99,119,273
60,16/01/2021,109,153,387.6
45,17/01/2021,111,136,300
45,18/01/2021,108,129,298
60,19/01/2021,111,139,397.6
60,20/01/2021,107,136,380.2
80,21/01/2021,123,146,643.1
60,22/01/2021,106,130,263
60,23/01/2021,118,151,486
30,24/01/2021,136,175,238
60,25/01/2021,121,146,450.7
60,26/01/2021,118,121,413
45,27/01/2021,115,144,305
20,28/01/2021,153,172,226.4
45,29/01/2021,123,152,321
210,30/01/2021,108,160,1376
160,31/01/2021,110,137,1034.4
160,01/02/2021,109,135,853
45,02/02/2021,118,141,341
20,03/02/2021,110,130,131.4
180,04/02/2021,90,130,800.4
150,05/02/2021,105,135,873.4
150,06/02/2021,107,130,816
20,07/02/2021,106,136,110.4
300,08/02/2021,108,143,1500.2
150,09/02/2021,97,129,1115
60,10/02/2021,109,153,387.6
90,11/02/2021,100,127,700
150,12/02/2021,97,127,953.2
45,13/02/2021,114,146,304
90,14/02/2021,98,125,563.2
45,15/02/2021,105,134,251
45,16/02/2021,110,141,300
120,17/02/2021,100,130,500.4
270,18/02/2021,100,131,1729
30,19/02/2021,159,182,319.2
45,20/02/2021,149,169,344
30,21/02/2021,103,139,151.1
120,22/02/2021,100,130,500
45,23/02/2021,100,120,225.3
30,24/02/2021,151,170,300
45,25/02/2021,102,136,234
120,26/02/2021,100,157,1000.1
45,27/02/2021,129,103,242
20,28/02/2021,83,107,50.3
180,01/03/2021,101,127,600.1
45,02/03/2021,107,137,
30,03/03/2021,90,107,105.3
15,04/03/2021,80,100,50.5
20,05/03/2021,150,171,127.4
20,06/03/2021,151,168,229.4
30,07/03/2021,95,128,128.2
25,08/03/2021,152,168,244.2
30,09/03/2021,109,131,188.2
90,10/03/2021,93,124,604.1
20,11/03/2021,95,112,77.7
90,12/03/2021,90,110,500
90,13/03/2021,90,100,500
90,14/03/2021,90,100,500.4
30,15/03/2021,92,108,92.7
30,16/03/2021,93,128,124
180,17/03/2021,90,120,800.3
30,18/03/2021,90,120,86.2
90,19/03/2021,90,120,500.3
210,20/03/2021,137,184,1860.4
60,21/03/2021,102,124,325.2
45,22/03/2021,107,124,275
15,23/03/2021,124,139,124.2
45,24/03/2021,100,120,225.3
60,25/03/2021,108,131,367.6
60,26/03/2021,108,151,351.7
60,27/03/2021,116,141,443
60,28/03/2021,97,122,277.4
60,29/03/2021,105,125,
60,30/03/2021,103,124,332.7
30,31/03/2021,112,137,193.9
45,01/04/2021,100,120,100.7
60,02/04/2021,119,169,336.7
60,03/04/2021,107,127,344.9
60,04/04/2021,111,151,368.5
60,05/04/2021,98,122,271
60,06/04/2021,97,124,275.3
60,07/04/2021,109,127,382
90,08/04/2021,99,125,466.4
60,09/04/2021,114,151,384
60,10/04/2021,104,134,342.5
60,11/04/2021,107,138,357.5
60,12/04/2021,103,133,335
60,13/04/2021,106,132,327.5
60,14/04/2021,103,136,339
20,15/04/2021,136,156,189
45,16/04/2021,117,143,317.7
45,17/04/2021,115,137,318
45,18/04/2021,113,138,308
20,19/04/2021,141,162,222.4
60,20/04/2021,108,135,390
60,21/04/2021,97,127,
45,22/04/2021,100,120,250.4
45,23/04/2021,122,149,335.4
60,24/04/2021,136,170,470.2
45,25/04/2021,106,126,270.8
60,26/04/2021,107,136,400
60,27/04/2021,112,146,361.9
30,28/04/2021,103,127,185
60,29/04/2021,110,150,409.4
60,30/04/2021,106,134,343
60,01/05/2021,109,129,353.2
60,02/05/2021,109,138,374
30,03/05/2021,150,167,275.8
60,04/05/2021,105,128,328
60,05/05/2021,111,151,368.5
60,06/05/2021,97,131,270.4
60,07/05/2021,100,120,270.4
60,08/05/2021,114,150,382.8
30,09/05/2021,80,120,240.9
30,10/05/2021,85,120,250.4
45,11/05/2021,90,130,260.4
45,12/05/2021,95,130,270
45,13/05/2021,100,140,280.9
60,14/05/2021,105,140,290.8
60,15/05/2021,110,145,300
60,16/05/2021,115,145,310.2
75,17/05/2021,120,150,320.4
75,18/05/2021,125,150,330.4
